# GAGE ( ANALOG network for IDs where YEAR <  2000)
# GAGE (DIGITAL network for IDs where YEAR >= 2000)
# MONTH for which rainfall is being aggregated
# S (season): W (wet, Jun-Oct) or D (dry)
# RAIN: total monthly rainfall in millimeters
gage,year,month,S,rain
RG001,1953,8,W,0.0
RG001,1953,10,W,0.0
RG001,1954,1,D,0.0
RG001,1954,2,D,0.0
RG001,1954,3,D,0.0
RG001,1954,5,D,0.0
RG001,1954,6,W,0.0
RG001,1954,7,W,83.31
RG001,1954,8,W,60.45
RG001,1954,9,W,18.8
RG001,1954,10,W,18.03
RG001,1955,1,D,15.75
RG001,1955,2,D,5.08
RG001,1955,3,D,2.79
RG001,1955,5,D,2.54
RG001,1955,6,W,12.7
RG001,1955,7,W,192.28
RG001,1955,8,W,103.63
RG001,1955,9,W,4.32
RG001,1955,10,W,4.57
RG001,1955,11,D,0.0
RG001,1955,12,D,3.05
RG001,1956,1,D,15.49
RG001,1956,2,D,2.54
RG001,1956,4,D,0.0
RG001,1956,5,D,0.0
RG001,1956,6,W,9.65
RG001,1956,7,W,52.83
RG001,1956,8,W,33.27
RG001,1956,9,W,0.0
RG001,1956,10,W,1.27
RG001,1956,11,D,1.27
RG001,1956,12,D,1.52
RG001,1957,1,D,22.1
RG001,1957,2,D,1.02
RG001,1957,3,D,24.64
RG001,1957,4,D,0.0
RG001,1957,5,D,1.02
RG001,1957,6,W,16.76
RG001,1957,7,W,69.85
RG001,1957,8,W,44.45
RG001,1957,9,W,0.0
RG001,1957,10,W,21.08
RG001,1957,11,D,0.0
RG001,1957,12,D,5.33
RG001,1958,2,D,21.34
RG001,1958,3,D,33.78
RG001,1958,4,D,15.75
RG001,1958,5,D,4.57
RG001,1958,6,W,26.92
RG001,1958,7,W,56.39
RG001,1958,8,W,95.0
RG001,1958,9,W,59.18
RG001,1958,10,W,28.19
RG001,1958,11,D,7.37
RG001,1959,2,D,10.67
RG001,1959,4,D,2.03
RG001,1959,6,W,12.95
RG001,1959,7,W,120.4
RG001,1959,8,W,97.28
RG001,1959,9,W,10.41
RG001,1959,10,W,45.72
RG001,1959,11,D,16.26
RG001,1959,12,D,24.38
RG001,1960,1,D,25.65
RG001,1960,2,D,14.48
RG001,1960,3,D,5.59
RG001,1960,6,W,2.79
RG001,1960,7,W,26.42
RG001,1960,8,W,25.4
RG001,1960,9,W,39.37
RG001,1960,10,W,17.53
RG001,1960,11,D,0.0
RG001,1960,12,D,9.65
RG001,1961,1,D,11.18
