# GAGE ( ANALOG network for IDs where YEAR <  2000)
# GAGE (DIGITAL network for IDs where YEAR >= 2000)
# MONTH for which rainfall is being aggregated
# S (season): W (wet, Jun-Oct) or D (dry)
# RAIN: total monthly rainfall in millimeters
gage,year,month,S,rain
RG001,2000,1,D,0.0
RG001,2000,2,D,3.81
RG001,2000,3,D,9.271
RG001,2000,6,W,43.561
RG001,2000,7,W,37.211
RG001,2000,8,W,159.131
RG001,2000,9,W,4.064
RG001,2000,10,W,116.459
RG001,2000,11,D,26.035
RG001,2000,12,D,4.826
RG001,2001,1,D,41.529
RG001,2001,2,D,1.016
RG001,2001,3,D,7.112
RG001,2001,4,D,19.431
RG001,2001,5,D,9.144
RG001,2001,6,W,22.225
RG001,2001,7,W,93.091
RG001,2001,8,W,116.967
RG001,2001,9,W,43.434
RG001,2001,10,W,6.858
RG001,2001,11,D,3.048
RG001,2001,12,D,9.017
RG001,2002,1,D,2.159
RG001,2002,2,D,9.779
RG001,2002,3,D,0.0
RG001,2002,4,D,0.635
RG001,2002,6,W,2.032
RG001,2002,7,W,82.931
RG001,2002,8,W,36.576
RG001,2002,9,W,33.655
RG001,2002,10,W,10.033
RG001,2002,11,D,4.191
RG001,2002,12,D,15.113
RG001,2003,1,D,0.254
RG001,2003,2,D,31.115
RG001,2003,3,D,2.54
RG001,2003,5,D,9.906
RG001,2003,6,W,1.016
RG001,2003,7,W,80.264
RG001,2003,8,W,36.449
RG001,2003,9,W,49.784
RG001,2003,10,W,8.89
RG001,2003,11,D,15.494
RG001,2003,12,D,10.16
RG001,2004,1,D,16.383
RG001,2004,2,D,13.716
RG001,2004,3,D,23.114
RG001,2004,4,D,46.609
RG001,2004,5,D,0.0
RG001,2004,6,W,6.731
RG001,2004,7,W,22.098
RG001,2004,8,W,69.469
RG001,2004,9,W,24.384
RG001,2004,10,W,2.921
RG001,2004,11,D,8.89
RG001,2004,12,D,17.018
RG001,2005,1,D,19.431
RG001,2005,2,D,20.066
RG001,2005,3,D,0.254
RG001,2005,4,D,2.032
RG001,2005,5,D,24.384
RG001,2005,6,W,0.0
RG001,2005,7,W,49.784
RG001,2005,8,W,114.427
RG001,2005,9,W,14.097
RG001,2005,10,W,1.016
RG001,2005,12,D,4.318
RG001,2006,1,D,0.254
RG001,2006,2,D,3.429
RG001,2006,3,D,2.159
RG001,2006,5,D,0.0
RG001,2006,6,W,7.493
RG001,2006,7,W,100.33
RG001,2006,8,W,90.551
RG001,2006,9,W,70.485
RG001,2006,10,W,11.938
RG001,2006,12,D,4.318
RG001,2007,1,D,22.352
RG001,2007,2,D,0.762
RG001,2007,3,D,23.749
RG001,2007,4,D,2.794
RG001,2007,5,D,0.0
RG001,2007,6,W,33.147
RG001,2007,7,W,100.33
RG001,2007,8,W,43.307
RG001,2007,9,W,28.194
RG001,2007,10,W,1.524
RG001,2007,11,D,11.43
RG001,2007,12,D,6.477
RG001,2008,1,D,1.016
RG001,2008,2,D,2.667
RG001,2008,3,D,0.0
RG001,2008,5,D,3.937
RG001,2008,6,W,12.319
RG001,2008,7,W,161.544
RG001,2008,8,W,60.579
RG001,2008,9,W,33.401
RG001,2008,10,W,0.254
RG001,2008,11,D,11.811
RG001,2008,12,D,5.715
RG001,2009,1,D,3.81
RG001,2009,2,D,7.112
RG001,2009,3,D,7.874
RG001,2009,4,D,0.508
RG001,2009,5,D,13.081
RG001,2009,6,W,21.971
RG001,2009,7,W,24.003
RG001,2009,8,W,36.957
RG001,2009,9,W,11.811
RG001,2009,10,W,7.366
RG001,2009,11,D,2.159
RG001,2009,12,D,6.985
RG001,2010,1,D,43.688
RG001,2010,2,D,27.432
RG001,2010,3,D,1.905
RG001,2010,4,D,7.366
RG001,2010,5,D,0.0
RG001,2010,6,W,0.0
RG001,2010,7,W,78.486
RG001,2010,8,W,126.111
RG001,2010,9,W,10.414
RG001,2010,10,W,11.811
RG001,2010,11,D,1.397
RG001,2010,12,D,4.318
RG001,2011,1,D,0.254
RG001,2011,2,D,1.778
RG001,2011,3,D,0.0
RG001,2011,4,D,0.0
RG001,2011,6,W,5.969
RG001,2011,7,W,121.666
RG001,2011,8,W,66.04
RG001,2011,9,W,59.563
RG001,2011,10,W,2.032
RG001,2011,11,D,12.319
RG001,2011,12,D,20.955
RG001,2012,1,D,0.254
RG001,2012,2,D,0.508
RG001,2012,3,D,1.016
RG001,2012,4,D,0.0
RG001,2012,5,D,9.779
RG001,2012,6,W,10.668
RG001,2012,7,W,194.945
RG001,2012,8,W,69.088
RG001,2012,9,W,120.904
RG001,2012,10,W,0.0
RG001,2012,11,D,6.477
RG001,2012,12,D,16.383
RG001,2013,1,D,9.398
RG001,2013,2,D,9.652
RG001,2013,3,D,2.794
RG001,2013,4,D,0.254
RG001,2013,5,D,0.0
RG001,2013,6,W,11.938
RG001,2013,7,W,82.931
RG001,2013,8,W,50.038
RG001,2013,9,W,56.642
RG001,2013,11,D,9.144
RG001,2013,12,D,10.287
RG001,2014,1,D,0.0
RG001,2014,2,D,0.254
RG001,2014,3,D,19.431
RG001,2014,4,D,0.0
RG001,2014,6,W,0.0
RG001,2014,7,W,77.851
RG001,2014,8,W,86.36
RG001,2014,9,W,146.812
RG001,2014,10,W,24.638
RG001,2014,11,D,0.254
RG001,2014,12,D,7.747
RG001,2015,1,D,52.705
RG001,2015,2,D,0.889
RG001,2015,3,D,14.097
RG001,2015,4,D,6.223
RG001,2015,5,D,2.413
RG001,2015,6,W,16.51
RG001,2015,7,W,91.059
RG001,2015,8,W,61.468
RG001,2015,9,W,46.482
RG001,2015,10,W,38.735
RG001,2015,11,D,9.652
RG001,2015,12,D,5.588
RG001,2016,1,D,25.019
RG001,2016,2,D,6.477
RG001,2016,3,D,0.889
RG001,2016,4,D,4.826
RG001,2016,5,D,1.778
RG001,2016,6,W,25.908
RG001,2016,7,W,48.768
RG001,2016,8,W,81.534
RG001,2016,9,W,77.851
RG001,2016,10,W,3.175
RG001,2016,11,D,0.0
RG001,2016,12,D,23.495
RG001,2017,1,D,12.319
RG001,2017,2,D,1.905
RG001,2017,3,D,3.302
RG001,2017,4,D,0.508
RG001,2017,5,D,0.254
RG001,2017,6,W,12.7
RG001,2017,7,W,213.868
RG001,2017,8,W,85.852
RG001,2017,9,W,2.794
RG001,2017,10,W,1.143
RG001,2017,11,D,4.826
RG001,2017,12,D,3.429
RG001,2018,1,D,0.508
RG001,2018,2,D,46.736
RG001,2018,3,D,0.0
RG001,2018,6,W,19.685
RG001,2018,7,W,42.926
RG001,2018,8,W,54.483
RG001,2018,9,W,30.48
RG001,2018,10,W,65.786
RG001,2018,11,D,3.048
RG001,2018,12,D,18.796
RG001,2019,1,D,16.256
