# GAGE (last 3 digits compatible with other WGc-codes)
# X, Y: coordinates for the "EPSG:26912" projection
# Z: elevation (m.a.s.l.) of the GAGE [OPTIONAL!]
# within_c: 1 for gages within WG, and 0 for gages outside WG-c [VERY OPTIONAL!!]
# with_dat: 1 for gages with data, and 0 for gages without data [VERY OPTIONAL!!]
gage,longitude,latitude,X,Y,Z,within_c,with_dat
RG001,-110.15364837646484,31.730236053466797,580177.7,3510845.9,1231.1,0,1
RG002,-110.14289093017578,31.740997314453125,581187.7,3512046.7,1262.9,0,1
RG003,-110.14290618896484,31.720413208007812,581203.8,3509765.0,1257.1,0,1
RG004,-110.12440490722656,31.745079040527344,582935.4,3512513.0,1278.1,0,1
RG005,-110.12757873535156,31.72933006286621,582648.4,3510765.0,1277.7,1,1
RG006,-110.11779022216797,31.720916748046875,583583.0,3509840.0,1314.0,1,1
RG007,-110.1082992553711,31.74762535095215,584458.1,3512807.8,1297.6,1,1
RG008,-110.115478515625,31.734695434570312,583789.8,3511369.0,1295.4,1,1
RG009,-110.10720825195312,31.716754913330078,584589.6,3509386.8,1343.4,1,1
RG010,-110.11072540283203,31.707433700561523,584265.0,3508350.8,1383.2,0,1
RG011,-110.09297943115234,31.745969772338867,585911.1,3512636.2,1316.9,1,1
RG012,-110.09892272949219,31.734800338745117,585358.2,3511393.4,1296.1,1,1
RG013,-110.09101867675781,31.72381019592285,586117.4,3510181.4,1329.7,1,1
RG014,-110.09835815429688,31.696685791015625,585446.8,3507169.1,1377.6,1,1
RG015,-110.07659149169922,31.750804901123047,587458.3,3513185.2,1334.5,1,1
RG016,-110.0832748413086,31.737314224243164,586838.5,3511684.4,1332.1,1,1
RG017,-110.07089233398438,31.724071502685547,588023.4,3510226.6,1356.5,1,1
RG018,-110.08494567871094,31.704919815063477,586710.3,3508092.5,1359.7,1,1
RG019,-110.07310485839844,31.692344665527344,587843.7,3506708.1,1442.6,1,1
