nmix,nf,mu,kappa,alpha,muRAD
mix1,f1,223.954714850653,3.9085759413814,1,3.85520266800881
mix2,f1,209.021055408386,8.46274245133156,0.694989916101025,3.59813157324149
mix2,f2,260.397940731608,7.10151167511994,0.305010083898975,4.48254387732783
mix3,f1,294.063277225559,122.898067787712,0.0404905655044381,5.06206592560194
mix3,f2,252.943012369872,9.26957303636785,0.30619913823952,4.35421320240035
mix3,f3,207.151572167549,9.3424366496595,0.653310296256042,3.56594990301999
mix4,f1,293.153576525434,101.962266892721,0.0558662771613303,5.0464061500596
mix4,f2,246.388676409714,16.144712493516,0.248481878884814,4.24138551088476
mix4,f3,273.70889854997,117.93751467994,0.0518384680005257,4.71168145154378
mix4,f4,206.429779778017,9.82595381346805,0.64381337595333,3.55352481990563
mix5,f1,273.677724996446,129.046671192187,0.0444824317699613,4.71114482356166
mix5,f2,158.048189672501,287.172811856793,0.0117663927485551,2.7206741456893
mix5,f3,201.385276567863,15.5871683696581,0.465681610396558,3.46668770085889
mix5,f4,238.369156700575,9.46279623283805,0.424952170439625,4.103335844016
mix5,f5,293.294153740153,104.719296092994,0.0531173946453013,5.04882607523782
mix6,f1,218.44801446506,18.0542437098531,0.293250878517638,3.76040919142307
mix6,f2,293.137469552104,101.611019677712,0.0559438407946222,5.04612888129749
mix6,f3,273.791077076147,122.325875868895,0.0503407796277434,4.71309608964854
mix6,f4,246.680281185018,16.197149304489,0.258104147157657,4.24640525565106
mix6,f5,196.527568196536,20.7918642252219,0.329129505939397,3.38306610670742
mix6,f6,158.386297287038,254.217294634198,0.0132308479629421,2.72649439992464
mix7,f1,231.419230149025,25.5073948910772,0.184728652666412,3.98369837444155
mix7,f2,216.621323507208,12.3003775602222,0.182879518285791,3.72896415638982
mix7,f3,158.251758833276,266.900509522019,0.0126256415313367,2.72417842722348
mix7,f4,271.853623916283,71.5293011584918,0.0878228920492295,4.67974437121729
mix7,f5,251.287040973926,68.3280363131044,0.103723474430141,4.32570696912878
mix7,f6,199.025294802238,18.0863514903163,0.373540020797601,3.42606248783153
mix7,f7,293.383509617049,106.542180189451,0.05467980023949,5.0503642657387
mix8,f1,251.304292882339,67.2081294075794,0.0986774965842034,4.32600394703963
mix8,f2,217.351621188443,14.726640146443,0.20565376162637,3.74153565135037
mix8,f3,230.374623640271,19.3513974640904,0.212030634386218,3.96571630247556
mix8,f4,271.936472306263,72.7405608188978,0.0865999037969616,4.68117054049579
mix8,f5,158.156887398432,275.264983209636,0.0123775481547658,2.7225452907701
mix8,f6,293.3706597522,106.309945717637,0.0547784062580302,5.05014306551399
mix8,f7,201.297721543036,32.4421076881582,0.1587872978987,3.46518051059706
mix8,f8,191.728829519476,21.5144392770996,0.171094951294751,3.30045962903975
mix9,f1,196.571639016811,19.8216838542705,0.279069262175049,3.38382475090037
mix9,f2,227.341281239852,11.675197242321,0.120424630073646,3.91349972055239
mix9,f3,243.532554232558,16.7746481301981,0.189000598481761,4.1922196344491
mix9,f4,210.25796091825,14.5468792922001,0.143909919411899,3.61942391988792
mix9,f5,217.750594674603,13.6777141623768,0.111748353083114,3.74840366325777
mix9,f6,253.51107769976,1912.85100092432,0.0160054619040599,4.36399199619286
mix9,f7,272.54157944801,72.9893826372913,0.0732431116204036,4.69158697968016
mix9,f8,293.493893582471,108.808763651794,0.0538009382176926,5.05226443809401
mix9,f9,158.27916383278,264.170079075261,0.0127977250323754,2.72465018253916
